model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,1,6,0.48953660428524015,0.4826724544167519,-0.006864149868488312,0.10895355343818665,0.09088947474956513,-0.01806407868862152
llama,squad,noise_1_character,1,7,0.5500604495406151,0.5514360040426254,0.0013755545020103454,0.029451704025268553,0.03801794052124023,0.00856623649597168
llama,squad,noise_1_character,1,8,1.9530855774879456,1.9359335422515869,-0.017152035236358644,0.10366554260253906,0.10901641845703125,0.005350875854492188
llama,squad,noise_1_character,1,9,0.9856148272752762,0.9833740711212158,-0.002240756154060364,0.021357250213623048,0.021288728713989256,-6.852149963378906e-05
llama,squad,noise_1_character,1,10,2.109731763601303,2.0944397866725923,-0.015291976928710937,0.1722888946533203,0.15700950622558593,-0.015279388427734375
llama,squad,noise_1_character,1,11,1.1191819548606872,1.127198502421379,0.008016547560691834,0.0434417724609375,0.043469715118408206,2.7942657470703126e-05
llama,squad,noise_1_character,1,12,2.0289781987667084,2.050712990760803,0.021734791994094848,0.10060572624206543,0.12491974830627442,0.024314022064208983
llama,squad,noise_1_character,1,13,0.5550158232450485,0.5694348007440567,0.014418977499008178,0.01625023325905204,0.014847415033727884,-0.001402818225324154
llama,squad,noise_1_character,1,14,0.9310343205928803,0.9412931606173516,0.010258840024471283,0.030188894271850585,0.028006696701049806,-0.002182197570800781
llama,squad,noise_1_character,1,15,0.651641047000885,0.6502777606248855,-0.0013632863759994508,0.12416648864746094,0.10585047006607055,-0.01831601858139038
llama,squad,noise_1_character,1,16,0.5670918464660645,0.5693494647741317,0.002257618308067322,0.010429576458409428,0.009564361441880465,-0.0008652150165289641
llama,squad,noise_1_character,1,17,0.6769911915063858,0.6638253808021546,-0.013165810704231262,0.06339755840599537,0.05085267527028918,-0.012544883135706186
llama,squad,noise_1_character,1,18,0.4466970443725586,0.44762356728315356,0.0009265229105949402,0.015952287102118136,0.013375424407422542,-0.002576862694695592
llama,squad,noise_1_character,1,19,0.7680223673582077,0.7524578541517257,-0.015564513206481934,0.032345008850097653,0.025372371077537537,-0.0069726377725601195
llama,squad,noise_1_character,1,20,0.8433340907096862,0.838171261548996,-0.005162829160690307,0.019208233151584864,0.015908778505399825,-0.0032994546461850406
llama,squad,noise_1_character,1,21,0.9886509984731674,0.982909893989563,-0.005741104483604431,0.08109989203512669,0.06870442777872085,-0.01239546425640583
llama,squad,noise_1_character,1,22,1.1946896970272065,1.197675985097885,0.002986288070678711,0.02707056999206543,0.031828880310058594,0.004758310317993164
llama,squad,noise_1_character,1,23,1.0343890160322189,1.0208095192909241,-0.01357949674129486,0.01942460536956787,0.019588983058929442,0.00016437768936157228
llama,squad,noise_1_character,1,24,0.5601190149784088,0.5585893720388413,-0.001529642939567566,0.008638154342770576,0.007877615094184876,-0.000760539248585701
llama,squad,noise_1_character,1,25,0.6290226817131043,0.6338822215795517,0.004859539866447449,0.025830447673797607,0.024906456470489502,-0.0009239912033081055
